ano;nescolnome;ebairrnome;cescolrpae;anoensino;nturesnome;mat;alunosexo;situ;esitaldesc
2021;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;10243526;F;TA;TR DUR ANO P/REDE
2021;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;7338074;M;AP;APROVADO
2021;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;11601531;F;TA;TR DUR ANO P/REDE
2021;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;17696720;F;AP;APROVADO
2021;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;17632803;F;AP;APROVADO
2021;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;17093775;F;AP;APROVADO
2021;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;17064295;F;AP;APROVADO
2021;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;16617479;M;AP;APROVADO
2021;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;16049420;M;AP;APROVADO
2021;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;15652521;F;AP;APROVADO
2021;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;14206617;F;AP;APROVADO
2021;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;13206826;F;AP;APROVADO
2021;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;13160907;M;AP;APROVADO
2021;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;12049212;F;AP;APROVADO
2021;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;11678275;F;AP;APROVADO
2021;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;10054871;F;AP;APROVADO
2021;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;9215360;F;AP;APROVADO
2021;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;9052500;M;AP;APROVADO
2021;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;8019177;M;AP;APROVADO
2021;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;8018995;F;AP;APROVADO
2021;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;7013540;F;AP;APROVADO
2021;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;7018576;F;AP;APROVADO
