ano;nescolnome;ebairrnome;cescolrpae;anoensino;nturesnome;mat;alunosexo;situ;esitaldesc
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;18046398;F;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;19655703;F;TA;TR DUR ANO P/REDE
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;9069488;F;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;21710317;F;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;21676224;F;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;20032250;F;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;19904401;M;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;19903545;F;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;12048607;F;TA;TR DUR ANO P/REDE
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;17767490;M;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;17686717;M;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;16690656;M;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;15630234;F;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;15075508;F;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;15055272;M;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;14297175;F;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;14164361;M;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;13160885;F;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;13157124;F;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;13114697;M;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;12925438;F;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;10338411;M;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;10243984;F;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;9230033;M;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;9068767;M;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;18136974;F;TA;TR DUR ANO P/REDE
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;8023166;F;TA;TR DUR ANO P/REDE
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;18820875;F;TA;TR DUR ANO P/REDE
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;14095513;F;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;19904460;F;TA;TR DUR ANO P/REDE
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;13157230;M;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;13102923;M;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;13081454;F;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;12057002;M;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;11361310;M;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;10246592;M;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;9304711;F;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;9239120;F;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;8327785;M;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;8022550;M;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;8019487;M;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;11613807;F;TA;TR DUR ANO P/REDE
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;20768192;M;TA;TR DUR ANO P/REDE
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;19904541;M;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;16720660;M;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;11570911;F;TA;TR DUR ANO P/REDE
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;16112210;M;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;8299145;F;TA;TR DUR ANO P/REDE
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;14268108;F;TA;TR DUR ANO P/REDE
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;11601531;F;TA;TR DUR ANO P/REDE
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;15718751;M;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;14206528;F;AP;APROVADO
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;19653220;F;TA;TR DUR ANO P/REDE
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;9113460;F;TR;TR DUR ANO FORA REDE
2022;ANDRE DE MELO;ESTANCIA;5;9º ANO;TARDE;13278223;M;AP;APROVADO
2022;ANTONIO FARIAS FILHO;SAN MARTIN;5;9º ANO;TARDE;21068860;M;AP;APROVADO
2022;ANTONIO FARIAS FILHO;SAN MARTIN;5;9º ANO;TARDE;21160481;M;AP;APROVADO
2022;ANTONIO FARIAS FILHO;SAN MARTIN;5;9º ANO;TARDE;22097953;F;AP;APROVADO
2022;ANTONIO FARIAS FILHO;SAN MARTIN;5;9º ANO;TARDE;22152806;M;AP;APROVADO
2022;ANTONIO FARIAS FILHO;SAN MARTIN;5;9º ANO;TARDE;22162704;M;AP;APROVADO
2022;ANTONIO FARIAS FILHO;SAN MARTIN;5;9º ANO;TARDE;22693947;F;AP;APROVADO
2022;ANTONIO FARIAS FILHO;SAN MARTIN;5;9º ANO;TARDE;22717056;F;AP;APROVADO
2022;ANTONIO FARIAS FILHO;SAN MARTIN;5;9º ANO;TARDE;21070423;M;TR;TR DUR ANO FORA REDE
2022;ANTONIO FARIAS FILHO;SAN MARTIN;5;9º ANO;TARDE;7026676;M;AP;APROVADO
2022;ANTONIO FARIAS FILHO;SAN MARTIN;5;9º ANO;TARDE;9304746;F;AP;APROVADO
2022;ANTONIO FARIAS FILHO;SAN MARTIN;5;9º ANO;TARDE;10000283;M;AP;APROVADO
2022;ANTONIO FARIAS FILHO;SAN MARTIN;5;9º ANO;TARDE;10008403;F;AP;APROVADO
2022;ANTONIO FARIAS FILHO;SAN MARTIN;5;9º ANO;TARDE;10053000;F;AP;APROVADO
